PBDB_entry (5148 unique),alphabet_filtered (3580 unique),word_striped (3133 unique),spelling (2364 unique)
penicillin v potassium,penicillin v potassium,penicillin v potassium,penicillin v potassium
penicillins,penicillins,penicillins,penicillin
pepcid,pepcid,pepcid,pepcid
pepcide,pepcide,pepcide,peptide
peperidolate,peperidolate,peperidolate,peperidolate
pepsid,pepsid,pepsid,pepsin
pepto,pepto,pepto,pepto
pepto bismol,pepto bismol,pepto bismol,pepto bismol
pepto-bismal,pepto bismal,pepto bismal,pepto bismal
peptobismol,peptobismol,peptobismol,peptobismol
percocet,percocet,percocet,percocet
peri-colace,peri colace,peri colace,peri colace
peridex,peridex,peridex,peroxide
permethrin,permethrin,permethrin,permethrin
permethrin 1% liquid,permethrin  liquid,permethrin liquid,permethrin liquid
permethrin 5 % topical,permethrin   topical,permethrin,permethrin
permethrin 5%,permethrin ,permethrin,permethrin
permethrin 5% topical,permethrin  topical,permethrin,permethrin
permethrin topical cream,permethrin topical cream,permethrin,permethrin
perodex,perodex,perodex,peroxide
phellondedron,phellondedron,phellondedron,phellondedron
phenazopyridine,phenazopyridine,phenazopyridine,phenazopyridine
phenazopyridine hcl,phenazopyridine hcl,phenazopyridine,phenazopyridine
phenegran,phenegran,phenegran,phenegran
phenegran suppositories,phenegran suppositories,phenegran suppositories,phenegran suppositories
phenergam,phenergam,phenergam,phenergam
phenergan,phenergan,phenergan,phenergan
phenergen,phenergen,phenergen,phenergen
phenergin,phenergin,phenergin,phentermine
pheniyleph-dexchlorephen-codeine,pheniyleph dexchlorephen codeine,pheniyleph dexchlorephen codeine,pheniyleph dexchlorephen codeine
phenobarbital,phenobarbital,phenobarbital,phenobarbital
phenol,phenol,phenol,phenol
phenrgan,phenrgan,phenrgan,phenrgan
phentermine,phentermine,phentermine,phentermine
phenyleph-DM-acetamin-guaifen,phenyleph dm acetamin guaifen,phenyleph dm acetamin guaifen,phenylephrine dm acetamin guaifen
phenyleph-min oil-petrolatum,phenyleph min oil petrolatum,phenyleph min oil petrolatum,phenylephrine min oil petrolatum
phenylephrine,phenylephrine,phenylephrine,phenylephrine
phenytoin,phenytoin,phenytoin,phenytoin
phrenilin,phrenilin,phrenilin,phrenilin
phyenazopyridine,phyenazopyridine,phyenazopyridine,phenazopyridine
pioglitazone,pioglitazone,pioglitazone,pioglitazone
piperacillin-tazobactam,piperacillin tazobactam,piperacillin tazobactam,piperacillin  tazobactam
piroxicam,piroxicam,piroxicam,piroxicam
pitocin,pitocin,pitocin,pitocin
plaquenil,plaquenil,plaquenil,plaquenil
plavix,plavix,plavix,plavix
pna,pna,pna,pna
pnc,pnc,pnc,pnc
podofilox,podofilox,podofilox,podofilox
polyethlene glycol,polyethlene glycol,polyethlene glycol,polyethylene glycols
polyethlene glycol 3350 17 gram,polyethlene glycol   gram,polyethlene glycol,polyethylene glycols
polyethylene,polyethylene,polyethylene,polyethylene
polyethylene glycol,polyethylene glycol,polyethylene glycol,polyethylene glycols
polyethylene glycol 3350,polyethylene glycol ,polyethylene glycol,polyethylene glycols
polyethylene glycol 3350 oral,polyethylene glycol  oral,polyethylene glycol,polyethylene glycols
polymyxin b-trimethoprim,polymyxin b trimethoprim,polymyxin b trimethoprim,polymyxin b  trimethoprim
polymyxin b-trimethropim,polymyxin b trimethropim,polymyxin b trimethropim,polymyxin b  trimethoprim
polymyxin/Trimethoprim,polymyxintrimethoprim,polymyxintrimethoprim,polymyxin b  trimethoprim
polysaccharide iron complex,polysaccharide iron complex,polysaccharide iron complex,polysaccharide iron complex
polytrim,polytrim,polytrim,polytrim
polyvinyl alcohol,polyvinyl alcohol,polyvinyl alcohol,polyvinyl alcohol
porcine,porcine,porcine,procaine
possible antibiotic for chlamydia,possible antibiotic for chlamydia,possible antibiotic for chlamydia,possible antibiotic for chlamydia
potasium,potasium,potasium,potassium
potassium,potassium,potassium,potassium
potassium chloride,potassium chloride,potassium chloride,potassium chloride
potassium chloride Injection,potassium chloride injection,potassium chloride injection,potassium chloride injection
pracardial,pracardial,pracardial,pracardial
pramcort,pramcort,pramcort,pramcort
pramoxine,pramoxine,pramoxine,pramoxine
pramoxine HCl,pramoxine hcl,pramoxine,pramoxine
pramoxine hc,pramoxine hc,pramoxine hc,pramoxine
pramoxine-HC,pramoxine hc,pramoxine hc,pramoxine
pramoxine-hydrocortisone,pramoxine hydrocortisone,pramoxine hydrocortisone,pramoxine hydrochloride
pranazole,pranazole,pranazole,pranazole
prasozin,prasozin,prasozin,prasozin
pravastatin,pravastatin,pravastatin,pravastatin
prazosin,prazosin,prazosin,prazosin
pre-natal DHA,pre natal dha,pre natal dha,pre natal dha
prebiotics,prebiotics,prebiotics,prebiotics
predisone,predisone,predisone,prednisone
predniSONE,prednisone,prednisone,prednisone
predniSone,prednisone,prednisone,prednisone
prednisOLONE,prednisolone,prednisolone,prednisolone
prednisolone,prednisolone,prednisolone,prednisolone
prednisone,prednisone,prednisone,prednisone
prednisone/albuterol,prednisonealbuterol,prednisonealbuterol,prednisonealbuterol
pregabalin,pregabalin,pregabalin,pregabalin
prenatal plus,prenatal plus,prenatal,prenatal
prenatal vit37/iron/folic acid,prenatal vitironfolic acid,prenatal vitironfolic acid,prenatal vitironfolic acid
prenatal vitamin,prenatal vitamin,prenatal vitamin,prenatal vitamin
prenatal vitamin tablet,prenatal vitamin tablet,prenatal vitamin,prenatal vitamin
prenatal vitaminis,prenatal vitaminis,prenatal vitaminis,prenatal vitamin
prenatal vitamins,prenatal vitamins,prenatal vitamins,prenatal vitamin
prenatal vitamins,prenatal vitamins,prenatal vitamins,prenatal vitamin
prenatal vitamins/feso4,prenatal vitaminsfeso,prenatal vitaminsfeso,prenatal vitamin
prenatal vitamis,prenatal vitamis,prenatal vitamis,prenatal vitamin
prenatals vitamins,prenatals vitamins,prenatals vitamins,prenatal vitamin
prenate mini,prenate mini,prenate mini,prenate mini
prep H,prep h,prep h,prep h
prevacid,prevacid,prevacid,prevacid
previcine,previcine,previcine,previcine
prilose,prilose,prilose,primrose
prilosec,prilosec,prilosec,prilosec
primrose evening oil,primrose evening oil,primrose evening oil,primrose evening oil
primrose oil,primrose oil,primrose oil,primrose oil
primrose supplements,primrose supplements,primrose supplements,primrose supplements
principen,principen,principen,principen
prinzide,prinzide,prinzide,prinzide
zestoretic,zestoretic,zestoretic,zestoretic
prisolec,prisolec,prisolec,prisolec
pristiq,pristiq,pristiq,pristiq
prn,prn,prn,prn
pro air,pro air,pro air,pro hair
pro air hfa,pro air hfa,pro air,pro hair
pro air inhaler,pro air inhaler,pro air,pro hair
proAir HFA,proair hfa,proair,proair
proMETHazine,promethazine,promethazine,promethazine
proair,proair,proair,proair
proair HFA,proair hfa,proair,proair
proair hfa,proair hfa,proair,proair
proardia,proardia,proardia,proardia
probioitic,probioitic,probioitic,probioitic
probiotic,probiotic,probiotic,probiotic
probiotic product,probiotic product,probiotic product,probiotic product
probiotics,probiotics,probiotics,probiotics
probotic,probotic,probotic,probotic
procadia,procadia,procadia,procadia
procardia,procardia,procardia,procardia
procardia XL,procardia xl,procardia,procardia
procardia xl,procardia xl,procardia,procardia
procaria,procaria,procaria,procaria
prochlorperazine,prochlorperazine,prochlorperazine,prochlorperazine
procort,procort,procort,procort
proctofoam,proctofoam,proctofoam,proctofoam
proctofoam hc,proctofoam hc,proctofoam hc,proctofoam hc
proctofoam-HC,proctofoam hc,proctofoam hc,proctofoam hc
proemthazine,proemthazine,proemthazine,promethazine
profesterone,profesterone,profesterone,progesterone
progestarone,progestarone,progestarone,progesterone
progesteron,progesteron,progesteron,progesterone
progesterone,progesterone,progesterone,progesterone
progesterone 8%,progesterone ,progesterone,progesterone
progesterone cream,progesterone cream,progesterone,progesterone
progesterone gel 8%,progesterone gel ,progesterone,progesterone
progesterone inj,progesterone inj,progesterone,progesterone
progesterone injection,progesterone injection,progesterone injection,progesterone injection
progesterone micronized,progesterone micronized,progesterone,progesterone
progesterone suppositories,progesterone suppositories,progesterone suppositories,progesterone suppositories
progesterone vag,progesterone vag,progesterone,progesterone
progesterone vag gel,progesterone vag gel,progesterone,progesterone
progesterone vag gel 8%,progesterone vag gel ,progesterone,progesterone
progesterone vaginal,progesterone vaginal,progesterone,progesterone
progesterone vaginal gel,progesterone vaginal gel,progesterone,progesterone
progesteronemo,progesteronemo,progesteronemo,progesterone
progestin,progestin,progestin,progestin
prolosec,prolosec,prolosec,prolosec
promETHazine,promethazine,promethazine,promethazine
promETHazine HCl,promethazine hcl,promethazine,promethazine
promathazine,promathazine,promathazine,promethazine
promethagan,promethagan,promethagan,promethagan
promethaxine,promethaxine,promethaxine,promethazine
promethazin,promethazin,promethazin,promethazine
promethazine,promethazine,promethazine,promethazine
promethazine HCL,promethazine hcl,promethazine,promethazine
promethazine HCl,promethazine hcl,promethazine,promethazine
promethazine Hcl,promethazine hcl,promethazine,promethazine
promethazine PRN N&V,promethazine prn nv,promethazine prn nv,promethazine prn nv
promethazine hcl,promethazine hcl,promethazine,promethazine
promethazine-codeine,promethazine codeine,promethazine codeine,promethazine codeine
promethazine-dextromethorphan,promethazine dextromethorphan,promethazine dextromethorphan,promethazine dextromethorphan
promethazone,promethazone,promethazone,promethazine
promethegan,promethegan,promethegan,promethegan
prometrium,prometrium,prometrium,prometrium
promtehazine,promtehazine,promtehazine,promethazine
propanolol,propanolol,propanolol,propranolol
propanolol hcl,propanolol hcl,propanolol,propranolol
prophylactic acyclovir,prophylactic acyclovir,prophylactic acyclovir,prophylactic acyclovir
prophylaxis,prophylaxis,prophylaxis,prophylaxis
propofol,propofol,propofol,propofol
propranalol,propranalol,propranalol,propranolol
propranolol,propranolol,propranolol,propranolol
propylthiouracil,propylthiouracil,propylthiouracil,propylthiouracil
protein,protein,protein,orgotein
protonex,protonex,protonex,protonex
protonics,protonics,protonics,protonics
protonix,protonix,protonix,protonix
proventil,proventil,proventil,proventil
proventil HFA,proventil hfa,proventil,proventil
proventil hfa,proventil hfa,proventil,proventil
provera,provera,provera,provera
provicid,provicid,provicid,provicid
prozac,prozac,prozac,prozac
pseudoephed,pseudoephed,pseudoephed,pseudoephedrine
pseudoephedrine,pseudoephedrine,pseudoephedrine,pseudoephedrine
pseudoephedrine HCl,pseudoephedrine hcl,pseudoephedrine,pseudoephedrine
pseudoephedrine hcl,pseudoephedrine hcl,pseudoephedrine,pseudoephedrine
pseudoephedrine/acetaminophen,pseudoephedrineacetaminophen,pseudoephedrineacetaminophen,pseudoephedrineacetaminophen
psyllium,psyllium,psyllium,psyllium
psyllium Husk,psyllium husk,psyllium husk,psyllium husk
psyllium husk,psyllium husk,psyllium husk,psyllium husk
aspartame,aspartame,aspartame,aspartate
pulmacort,pulmacort,pulmacort,pulmacort
pulmicort,pulmicort,pulmicort,pulmicort
pulmocort,pulmocort,pulmocort,pulmocort
pulnicoit,pulnicoit,pulnicoit,pulnicoit
pvn,pvn,pvn,pvn
pyrantel pamoate,pyrantel pamoate,pyrantel pamoate,pyrantel pamoate
pyridium,pyridium,pyridium,pyridium
pyridoxidne,pyridoxidne,pyridoxidne,pyridoxine
pyridoxine,pyridoxine,pyridoxine,pyridoxine
pyridoxine HCL,pyridoxine hcl,pyridoxine,pyridoxine
pyridoxine HCl,pyridoxine hcl,pyridoxine,pyridoxine
pyridoxine hcl,pyridoxine hcl,pyridoxine,pyridoxine
pyridoxine,pyridoxine,pyridoxine,pyridoxine
vitamin B6,vitamin b6,vitamin b6,vitamin b
pyriodoxine,pyriodoxine,pyriodoxine,pyridoxine
quetiapine,quetiapine,quetiapine,quetiapine
quetiapine fumarate,quetiapine fumarate,quetiapine fumarate,quetiapine fumarate
qvar,qvar,qvar,var
raNITIdine,ranitidine,ranitidine,ranitidine
rabeprazole,rabeprazole,rabeprazole,rabeprazole
racepinephrine,racepinephrine,racepinephrine,racepinephrine
raltegravir,raltegravir,raltegravir,raltegravir
raltegravir potassium,raltegravir potassium,raltegravir potassium,raltegravir potassium
ranexa,ranexa,ranexa,ranexa
ranitidina,ranitidina,ranitidina,ranitidine
ranitidine,ranitidine,ranitidine,ranitidine
ranitidine HCl,ranitidine hcl,ranitidine,ranitidine
ranitidine hcl,ranitidine hcl,ranitidine,ranitidine
rantidine,rantidine,rantidine,ranitidine
rantidine hcl,rantidine hcl,rantidine,ranitidine
raspberry leaf tea,raspberry leaf tea,raspberry leaf tea,raspberry leaf tea
rebamipide,rebamipide,rebamipide,rebamipide
recophin,recophin,recophin,recophin
red raspberry leaf tea,red raspberry leaf tea,red raspberry leaf tea,red raspberry leaf tea
reg insulin,reg insulin,reg insulin,insulin
reglan,reglan,reglan,reglan
regular insulin,regular insulin,regular insulin,insulin
remdesivir,remdesivir,remdesivir,remdesivir
remeron,remeron,remeron,remeron
restoril,restoril,restoril,estriol
retrovir,retrovir,retrovir,retrovir
reyataz,reyataz,reyataz,reyataz
reytaz,reytaz,reytaz,reytaz
rhinacort,rhinacort,rhinacort,rhinacort
rhinocort,rhinocort,rhinocort,rhinocort
rho D Immune Globulin,rho d immune globulin,rho d immune globulin,rhod immune globulin
rho D Immune globulin,rho d immune globulin,rho d immune globulin,rhod immune globulin
rho D immune Globulin,rho d immune globulin,rho d immune globulin,rhod immune globulin
rho D immune globulin,rho d immune globulin,rho d immune globulin,rhod immune globulin
rho d immune globulin,rho d immune globulin,rho d immune globulin,rhod immune globulin
rho immune globulin,rho immune globulin,rho immune globulin,rhod immune globulin
rho(D) immune globulin,rhod immune globulin,rhod immune globulin,rhod immune globulin
rhogam,rhogam,rhogam,rhogam
rhophylac,rhophylac,rhophylac,rhophylac
riboflavin,riboflavin,riboflavin,riboflavin
rifampin,rifampin,rifampin,rifampin
riopan,riopan,riopan,riopan
risperdal,risperdal,risperdal,risperdal
risperidone,risperidone,risperidone,risperidone
ritonavir,ritonavir,ritonavir,ritonavir
rizatriptan,rizatriptan,rizatriptan,rizatriptan
robaxin,robaxin,robaxin,robaxin
robitusin,robitusin,robitusin,robitusin
robitussi,robitussi,robitussi,robitussi
robitussin,robitussin,robitussin,robitussin
robitussin DM,robitussin dm,robitussin,robitussin
robitussin allergy-cough,robitussin allergy cough,robitussin allergy cough,robitussin allergy cough
robitussin cold-flu day,robitussin cold flu day,robitussin cold flu day,robitussin cod flu day
robitussin cough,robitussin cough,robitussin cough,robitussin cough
robitussin-dm or,robitussin dm or,robitussin,robitussin
robitussion,robitussion,robitussion,robitussion
robutussin,robutussin,robutussin,robutussin
rocehin,rocehin,rocehin,rocehin
rocephin,rocephin,rocephin,rocephin
rocuronium,rocuronium,rocuronium,rocuronium
rolaids,rolaids,rolaids,rolaids
ron,ron,ron,iron
rondec,rondec,rondec,rondec
rophylac,rophylac,rophylac,rophylac
sAXagliptin,saxagliptin,saxagliptin,saxagliptin
salicylic acid,salicylic acid,salicylic acid,salicylic acid
saline spray,saline spray,saline,valine
sannosides,sannosides,sannosides,sennosides
scopolamine,scopolamine,scopolamine,scopolamine
scopolamine TOP PATCH 1 mg/3 days,scopolamine top patch  mg days,scopolamine top patch mg days,scopolamine top peach mg days
scopolamine base,scopolamine base,scopolamine base,scopolamine
scopolamine base 1.5MG,scopolamine base mg,scopolamine base,scopolamine
scopolamine base patch,scopolamine base patch,scopolamine base,scopolamine
scopolamine patch,scopolamine patch,scopolamine,scopolamine
scopolamine top patch,scopolamine top patch,scopolamine,scopolamine
selenium,selenium,selenium,selenium
selenium sulfide,selenium sulfide,selenium sulfide,selenium sulfide
selsun blue,selsun blue,selsun blue,selsun blue
senna,senna,senna,senna
senna-docusate,senna docusate,senna docusate,senna docusate
sennacot,sennacot,sennacot,sennacot
sennosides,sennosides,sennosides,sennosides  usp
sennosides - docusatesodium,sennosides   docusatesodium,sennosides docusatesodium,sennosides docusatesodium
sennosides- docusate sodium,sennosides  docusate sodium,sennosides docusate,sennosides docusate
sennosides-Docusate Sodium,sennosides docusate sodium,sennosides docusate,sennosides docusate
sennosides-docusate,sennosides docusate,sennosides docusate,sennosides docusate
sennosides-docusate sodium,sennosides docusate sodium,sennosides docusate,sennosides docusate
septra,septra,septra,septra
septra DS,septra ds,septra ds,septra ds
seravent,seravent,seravent,seravent
seroquel,seroquel,seroquel,seroquel
sertaline,sertaline,sertaline,sertraline
sertraline,sertraline,sertraline,sertraline
sertraline HCl,sertraline hcl,sertraline,sertraline
sertraline hcl,sertraline hcl,sertraline,sertraline
setraline,setraline,setraline,sertraline
shellfish derived products,shellfish derived products,shellfish derived products,shellfish derived products
shrimp / shellfish,shrimp  shellfish,shrimp shellfish,shrimp shellfish
silvadene,silvadene,silvadene,silvadene
simethicone,simethicone,simethicone,simethicone
simethicone (GAS-X),simethicone gas x,simethicone gas,simethicone
